EAR,MAR,Pitch,Yaw,Label
0.7,0.7780363988573624,33.375,5.34375,Focused
0.7,0.6692748920375408,31.125,3.65625,Focused
0.7,0.6765646301383421,30.375000000000004,3.0937500000000004,Focused
0.7,0.6398207890436254,29.625,2.8125,Focused
0.7,0.6570801277158413,29.25,1.9687499999999998,Focused
1.0,0.6636794369812901,28.875000000000004,1.6875,Focused
0.7,0.6503456882897981,28.125,1.40625,Focused
0.7,0.6552152070918053,27.0,0.84375,Focused
1.0,0.6662064477371049,27.0,0.84375,Focused
0.7,0.6834032606166227,26.625,0.84375,Focused
1.0,0.6752358560886061,27.0,0.5625,Focused
0.7,0.6703451571521255,27.0,-0.28125,Focused
1.0,0.6848658736414572,27.0,0.28125,Focused
1.0,0.6936195258653913,27.0,0.0,Focused
0.7,0.6890384318066607,27.374999999999996,0.0,Focused
0.7,0.6833822259925759,27.374999999999996,-0.28125,Focused
1.0,0.6917711323493451,26.625,-0.28125,Focused
0.7,0.6943189789700014,27.0,-0.28125,Focused
0.7,0.6882170655327903,27.0,0.0,Focused
0.7,0.7002011429669655,27.374999999999996,-0.28125,Focused
0.7,0.7000728269236839,27.374999999999996,0.0,Focused
0.7,0.6996696318152622,27.0,-0.28125,Focused
0.7,0.6932193961952448,27.374999999999996,-0.28125,Focused
1.0,0.6939833444931499,27.374999999999996,-0.5625,Focused
1.0,0.6946858583386195,27.0,-0.5625,Focused
0.7,0.6885112671678583,27.0,-0.28125,Focused
0.7,0.6915924406769242,27.0,0.0,Focused
0.7,0.7246930027896465,27.0,-0.5625,Focused
1.0,0.7113268962025561,25.874999999999996,-0.28125,Focused
0.7,0.708475530966816,25.125,-0.28125,Focused
0.7,0.7132899449347363,24.375,-0.28125,Focused
1.0,0.7055902410700163,23.625,-0.28125,Focused
0.7,0.7139357050160129,23.250000000000004,-0.28125,Focused
0.7,0.7160682641712487,22.125,-0.5625,Focused
0.7,0.752132024258093,21.75,-0.84375,Focused
1.0,0.776975338969522,20.625,-1.125,Focused
0.7,0.7703041485655291,21.0,-0.84375,Focused
0.7,0.778228868014705,20.25,-1.40625,Focused
0.7,0.8279978875337265,21.375,-1.125,Focused
1.0,0.8722546421644597,21.375,-1.125,Focused
1.0,0.8295486586898828,20.625,-1.6875,Focused
0.7,0.8583027572762583,20.25,-1.9687499999999998,Focused
0.7,0.8581562809392832,19.125,-2.53125,Focused
0.7,0.8652995562743349,19.125,-2.25,Focused
0.7,0.8524298471754979,18.375,-2.53125,Focused
0.7,0.8801410306839912,17.625,-2.53125,Focused
0.7,0.9693720651246541,16.5,-2.53125,Focused
1.0,1.0221310586471193,16.5,-2.25,Focused
0.7,1.027087379152622,16.875,-3.0937500000000004,Focused
0.7,0.9907221970069388,15.375,-2.53125,Focused
0.7,1.0559935616287306,15.749999999999998,-2.8125,Focused
0.7,1.0766770191395236,15.749999999999998,-1.40625,Focused
0.7,1.1094876600798285,16.875,-2.25,Focused
0.7,1.1271165226125124,16.875,-2.25,Focused
1.0,1.1055746260660408,18.375,-2.8125,Focused
1.0,1.0788804770078217,21.0,-2.25,Focused
0.7,1.1036355624005947,22.125,-1.9687499999999998,Focused
0.7,1.1188606219171795,23.625,-2.8125,Focused
0.7,1.1261801574419967,23.250000000000004,-2.8125,Focused
0.7,1.1204516628551537,25.874999999999996,-1.6875,Focused
0.7,1.183645420671377,26.625,-0.5625,Focused
1.0,1.1917404526161044,27.75,-0.5625,Focused
1.0,1.2289800444511847,27.0,-2.8125,Focused
1.0,1.212660163540437,25.125,-0.84375,Focused
1.0,1.141234951307365,21.375,-2.25,Focused
0.7,1.1289181985298464,21.375,-1.125,Focused
1.0,1.1424395662519815,18.375,-0.84375,Focused
1.0,1.1422883647867532,16.125,-0.28125,Focused
0.7,1.1582002310108717,14.25,-1.125,Focused
1.0,1.0909889676613698,11.625000000000002,0.0,Focused
1.0,1.0107349939174468,9.375,0.5625,Focused
1.2999999999999998,0.9663117117172458,9.375,1.6875,Focused
1.0,0.9769493894604114,10.5,2.8125,Focused
1.0,0.9460026600538701,10.125,2.8125,Focused
1.0,0.9663124782289081,10.875,3.65625,Focused
0.7,0.9283444045485392,11.25,3.9374999999999996,Focused
1.0,0.921575063346049,10.125,4.21875,Focused
1.0,0.9052695917014332,9.75,5.0625,Focused
0.7,0.9696977542282202,10.125,4.5,Focused
0.7,0.9337974549025305,9.375,4.78125,Focused
1.0,0.9145993480813478,9.375,5.0625,Focused
0.7,0.8841014938198514,9.75,5.0625,Focused
1.0,0.8806875176433573,9.75,5.625,Focused
0.7,0.8605531761564994,9.375,5.625,Focused
1.2999999999999998,0.8690757158778366,10.5,5.90625,Focused
1.0,0.8471603520967751,9.0,5.625,Focused
1.0,0.8445420811841541,9.0,5.625,Focused
1.0,0.8423968665581586,9.375,5.34375,Focused
1.0,0.8339425115699224,9.0,5.34375,Focused
